hostnames,fpl_letter,fst_mass,fst_masserr1,fst_masserr2,fst_age,fst_ageerr1,fst_ageerr2,fst_met,fst_meterr1,fst_meterr2,fst_dist,fst_disterr1,fst_disterr2,Nss,Pnull,BIC1,rhoN,Phigh,HJflag,insamp,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_dens,fpl_denserr1,fpl_denserr2
11 Com,b,2.7,0.3,-0.3,-,-,-,-0.35,0.09,-0.09,93.37,1.92,-1.92,600,0.0003418255019342464,41.136712807852746,0.04447914726530624,1.336552754696928e-05,N,N,6165.6,476.7,-476.7,1.29,0.05,-0.05,326.03,0.32,-0.32,0.231,0.005,-0.005,12.1,-,-,19.1,-,-
11 UMi,b,2.78,0.69,-0.69,1.56,0.54,-0.54,-0.02,-,-,125.72,1.97,-1.97,600,2.4519580858479442e-06,103.00727615972869,3.2781003254152585,0.932355617964757,N,N,4684.8142,794.575,-794.575,1.53,0.07,-0.07,516.21997,3.2,-3.2,0.08,0.03,-0.03,12.3,-,-,13.8,-,-
14 And,b,2.2,0.1,-0.2,4.5,1.9,-1.9,-0.24,0.03,-0.03,75.59,0.71,-0.71,600,7.074100687409862e-07,136.5797499608634,0.015625079301416336,1.0854753415086915e-24,N,N,1525.5,-,-,0.83,-,-,185.84,0.23,-0.23,0.0,-,-,12.9,-,-,3.9,-,-
14 Her,b,0.9,0.04,-0.04,5.24,-,-,0.41,-,-,17.94,0.01,-0.01,600,1.4759919080413826e-05,116.488419317124,2.6201840464205457,0.8475107168541449,N,N,1481.0878,47.6745,-47.6745,2.93,0.08,-0.08,1773.40002,2.5,-2.5,0.37,0.0,0.0,12.9,-,-,3.79,-,-
16 Cyg B,b,1.08,0.04,-0.04,7.4,0.1,-0.1,0.06,-,-,21.15,0.01,-0.01,600,1.0151475927315593e-05,89.06011483133102,0.7655673247411723,0.4877697362639988,N,N,565.7374,25.4264,-25.4264,1.66,0.03,-0.03,798.5,1.0,-1.0,0.68,0.02,-0.02,13.5,-,-,1.26,-,-
18 Del,b,2.3,-,-,1.1,0.1,-0.1,-0.052000000000000005,0.023,-0.023,76.38,0.62,-0.62,600,4.932952944355065e-06,104.67418836723664,2.0413205663179057,0.9654219026175904,N,N,3273.5,-,-,2.6,-,-,993.3,3.2,-3.2,0.08,0.01,-0.01,12.5,-,-,9.21,-,-
24 Boo,b,0.99,0.19,-0.13,6.92,4.83,-2.75,-0.77,0.03,-0.03,96.25,0.64,-0.64,600,0.0007370778061511342,64.74649593915888,0.0011431334370363626,2.085660356172774e-15,Y,N,289.2253,41.3179,-31.783,0.19,0.012,-0.009,30.3506,0.0078,-0.0077,0.042,0.048,-0.029,13.9,-,-,0.592,-,-
24 Sex,b,1.54,0.08,-0.08,2.7,0.4,-0.4,-0.03,0.04,-0.04,72.21,0.68,-0.68,600,0.0024026524842782155,43.046946133212714,1.1694628148312605,0.8141206127127933,N,Y,632.46,82.63,-120.77,1.333,0.004,-0.009,452.8,2.1,-4.5,0.09,0.14,-0.06,13.4,-,-,1.44,-,-
24 Sex,c,1.54,0.08,-0.08,2.7,0.4,-0.4,-0.03,0.04,-0.04,72.21,0.68,-0.68,600,0.0005858622695172385,43.046946133212714,1.0032305106949893,0.7629802968038814,N,Y,273.32,111.24,-69.92,2.08,0.05,-0.02,883.0,32.4,-13.8,0.29,0.16,-0.09,13.9,-,-,0.559,-,-
2MASS J22362452+4751425,b,0.6,0.05,-0.05,0.12,0.01,-0.01,-,-,-,74.0,10.0,-10.0,600,0.00013136160510844022,99.34272656091412,3.4367309044295427,0.9690882919423693,N,N,3972.875,476.745,-476.745,230.0,20.0,-20.0,-,-,-,-,-,-,12.3,-,-,11.7,-,-
30 Ari B,b,1.93,0.27,-0.27,0.91,0.83,-0.83,0.19,-,-,44.71,0.1,-0.1,600,0.0002688464236596296,36.237353028578354,9.161697866715626,0.9734243623689953,N,N,4392.4106,572.094,-572.094,0.99,0.02,-0.02,335.10001,2.5,-2.5,0.29,0.09,-0.09,12.3,-,-,13.0,-,-
4 UMa,b,1.23,0.15,-0.15,4.604,2.0,-2.0,-0.25,0.04,-0.04,73.58,1.18,-1.18,600,8.39203906828706e-05,68.19555866905671,0.8935079805984795,0.7278465788131612,N,N,2256.5,508.5,-508.5,0.87,0.04,-0.04,269.3,1.96,-1.96,0.432,0.024,-0.024,12.7,-,-,6.05,-,-
42 Dra,b,0.98,0.05,-0.05,9.49,1.76,-1.76,-0.46,0.05,-0.05,90.86,1.32,-1.32,600,0.000590678145469852,78.81799391745835,0.017150847587181165,1.5087343387749702e-06,N,N,1233.13,270.14,-270.14,1.19,0.01,-0.01,479.1,6.2,-6.2,0.38,0.06,-0.06,13.0,-,-,3.08,-,-
47 UMa,b,1.03,0.05,-0.05,7.3,1.9,-1.9,0.0,0.07,-0.07,13.8,0.03,-0.03,600,0.00020053826423620984,73.71316111636997,3.321837618308277,0.9019669715980068,N,N,804.08,22.25,-19.07,2.1,0.02,-0.02,1078.0,2.0,-2.0,0.032,0.014,-0.014,13.2,-,-,1.92,-,-
47 UMa,c,1.03,0.05,-0.05,7.3,1.9,-1.9,0.0,0.07,-0.07,13.8,0.03,-0.03,600,0.0002105223546911199,73.71316111636997,3.4630237956971137,0.9034586205748418,N,N,171.621,20.976,-23.201,3.6,0.1,-0.1,2391.0,100.0,-87.0,0.098,0.047,-0.096,14.2,-,-,0.329,-,-
47 UMa,d,1.03,0.05,-0.05,7.3,1.9,-1.9,0.0,0.07,-0.07,13.8,0.03,-0.03,600,0.00010671100693027148,73.71316111636997,3.0544517569364,0.8983145620385877,N,N,521.22,92.17,-152.55,11.6,2.1,-2.9,14002.0,4018.0,-5095.0,0.16,0.09,-0.16,13.5,-,-,1.16,-,-
51 Peg,b,1.12,0.06,-0.06,4.0,2.5,-2.5,0.2,0.07,-0.07,15.47,0.03,-0.03,600,5.571011255292348e-06,111.72136903824025,0.8344217156702944,0.715853860598345,Y,Y,146.2018,19.0698,-3.1783,0.0527,0.003,-0.003,4.230785,3.6e-05,-3.6e-05,0.013,0.012,-0.012,14.3,-,-,0.275,-,-
55 Cnc,b,0.91,0.01,-0.01,10.2,2.5,-2.5,0.31,0.04,-0.04,12.59,0.01,-0.01,600,5.892125658847273e-05,84.34053901659036,6.558713659674568,0.9342740305708787,Y,N,263.9785,1.0488,-1.0488,0.115227,1e-06,-1e-06,14.65152,0.00015,-0.00015,0.0034,0.0032,-0.0032,13.9,-,-,0.54,-,-
55 Cnc,c,0.91,0.01,-0.01,10.2,2.5,-2.5,0.31,0.04,-0.04,12.59,0.01,-0.01,600,9.462489937192824e-05,84.34053901659036,6.880302044136793,1.0,Y,N,54.4738,1.748,-1.748,0.24137600000000003,2.6000000000000002e-05,-2.6000000000000002e-05,44.4175,0.0073,-0.0073,0.02,0.031,-0.031,8.51,-,-,0.486,-,-
55 Cnc,d,0.91,0.01,-0.01,10.2,2.5,-2.5,0.31,0.04,-0.04,12.59,0.01,-0.01,600,1.2097029871093459e-05,84.34053901659036,6.1843059480511045,0.9365129029830332,Y,N,1232.493,21.612,-21.612,5.503,0.03,-0.03,4825.0,39.0,-39.0,0.019,0.013,-0.013,13.0,-,-,3.08,-,-
55 Cnc,e,0.91,0.01,-0.01,10.2,2.5,-2.5,0.31,0.04,-0.04,12.59,0.01,-0.01,600,6.062752438021337e-05,84.34053901659036,8.514062235705248,0.9180118352381119,Y,N,8.08,0.31,-0.31,0.01544,9e-05,-9e-05,0.736539,7e-06,-7e-06,0.028,0.022,-0.019,1.91,0.08,-0.08,6.4,0.8,-0.7
55 Cnc,f,0.91,0.01,-0.01,10.2,2.5,-2.5,0.31,0.04,-0.04,12.59,0.01,-0.01,600,0.0002809847446007792,84.34053901659036,6.714708750149918,0.9332512736817363,Y,N,44.812,3.814,-3.814,0.788,0.001,-0.001,262.0,0.51,-0.51,0.305,0.075,-0.075,7.59,-,-,0.563,-,-
6 Lyn,b,1.44,-,-,2.353,0.21100000000000002,-0.21100000000000002,-0.1,0.02,-0.02,54.74,0.27,-0.27,600,6.579280308273667e-05,61.106344424583085,0.2225417676156314,0.02389886672248202,N,Y,638.8383,24.47291,-24.47291,2.11,0.11,-0.11,934.3,8.6,-8.6,0.073,0.036,-0.036,13.4,-,-,1.46,-,-
61 Vir,b,0.94,0.03,-0.03,8.96,2.76,-3.08,-0.01,-,-,8.51,0.02,-0.02,600,0.0002086238675082788,69.8884999261777,0.26393558674676865,0.128293544347126,N,N,5.1,0.5,-0.5,0.050200999999999996,5e-06,-5e-06,4.215,0.0006,-0.0006,0.12,0.11,-0.11,2.11,-,-,2.98,-,-
61 Vir,c,0.94,0.03,-0.03,8.96,2.76,-3.08,-0.01,-,-,8.51,0.02,-0.02,600,0.00029929844049867365,69.8884999261777,0.24229758752624067,0.10196277989732232,N,N,18.2,1.1,-1.1,0.2175,0.0001,-0.0001,38.021,0.034,-0.034,0.14,0.06,-0.06,4.46,-,-,1.13,-,-
61 Vir,d,0.94,0.03,-0.03,8.96,2.76,-3.08,-0.01,-,-,8.51,0.02,-0.02,600,1.904143556474352e-05,69.8884999261777,0.20879623028783836,0.0662643340711178,N,N,22.9,2.6,-2.6,0.476,0.001,-0.001,123.01,0.55,-0.55,0.35,0.09,-0.09,5.11,-,-,0.943,-,-
70 Vir,b,1.09,-,-,7.92,0.28,-0.16,-0.11,0.01,-0.01,17.91,0.06,-0.06,600,7.605093021896928e-05,88.60730425582142,0.23267588501221664,0.06452298764303763,N,N,2380.45,193.87,-193.87,0.481,0.022,-0.022,116.688,0.0054,-0.0054,0.3988,0.0019,-0.0019,12.6,-,-,6.54,-,-
75 Cet,b,2.49,0.02,-0.27,-,-,-,0.0,0.04,-0.04,83.15,0.72,-0.72,600,2.8537582736177578e-05,87.0797126240476,2.525976379023799,0.9780439223602296,N,N,953.49,-,-,2.1,-,-,691.9,3.6,-3.6,0.117,0.048,-0.048,13.1,-,-,2.33,-,-
8 UMi,b,1.44,0.19,-0.19,1.7,0.2,-0.2,-0.03,-,-,163.32,0.65,-0.65,600,7.534561689401269e-06,113.99661535390669,4.944944852279217,0.9251850245913377,N,Y,416.3573,50.8528,-50.8528,0.49,0.02,-0.02,93.4,4.5,-4.5,0.06,0.09,-0.09,13.6,-,-,0.91,-,-
81 Cet,b,2.4,0.1,-0.4,-,-,-,-0.06,0.03,-0.03,101.53,1.22,-1.22,600,0.0005072871053095676,93.0031098018435,2.8180463255377384,0.9840190756024106,N,N,1684.4,-,-,2.5,-,-,952.7,8.8,-8.8,0.206,0.029,-0.029,12.8,-,-,4.41,-,-
91 Aqr,b,1.4,0.1,-0.1,3.56,0.63,-0.63,-0.03,0.1,-0.1,44.08,0.51,-0.51,600,1.1061949960786512e-07,147.8650304699072,0.3299715732432689,0.1941881360932069,N,Y,1017.0,-,-,0.7,-,-,181.4,0.1,-0.1,0.027,0.026,-0.026,13.1,-,-,2.49,-,-
AB Pic,b,0.9,0.1,-0.1,0.03,-,-,-0.05,0.04,-0.04,50.12,0.07,-0.07,600,5.186572652793876e-05,73.37019680174399,9.559119130944662,1.0,N,N,4290.5,158.9,-158.9,260.0,-,-,-,-,-,-,-,-,12.3,-,-,12.7,-,-
BD+14 4559,b,0.49,0.33,-0.33,-,-,-,0.17,-,-,49.42,0.08,-0.08,600,0.00023307446885118598,66.31845387485896,0.6590064929130159,0.5294050272692615,N,N,330.5432,149.3801,-149.3801,0.78,0.05,-0.05,268.94,0.99,-0.99,0.29,0.03,-0.03,13.8,-,-,0.691,-,-
BD+15 2940,b,1.1,0.2,-0.2,7.1,4.2,-4.2,0.28,0.07,-0.07,431.61,6.55,-6.55,330,0.0006769254786487915,60.794080100777535,0.10587464618319348,2.1578241939097285e-05,N,N,352.78,-,-,0.539,-,-,137.48,0.34,-0.34,0.26,0.1,-0.1,13.7,-,-,0.754,-,-
